CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
170394	P n -3 Z	Ca Cu3 Mn2 Te2 O12	CaCu3Cr2Sb2O12	Zhao, Haoting; Bai, Yujie; Yin, Kang; Wang, Xiao; Liu, Zhehong; Ye, Xubin; Lu, Dabiao; Zhang, Jie; Pi, Maocai; Hu, Zhiwei; Lin, Hong-Ji; Chen, Chien-Te; Meng, Qingbo; Yu, Pu; Zhang, Qinfang; Long, Youwen	7.59338 7.59338 7.59338 90.0 90.0 90.0	437.82	298.00	0.101325	2023	-1	
174444	P m -3 n	La18 Li8 Rh4 Mn O39	Li8Nd18Fe5O39	Battle, P.D.; Dutton, S.E.; van Daesdonk, P.A.	12.21718(2) 12.21718(2) 12.21718(2) 90. 90. 90.	1823.53	293.00	0.101325	2010	10	
246355	P m -3 n	Nd18 Li8 Fe4 Mn O39	Li8Nd18Fe5O39	Dutton, S.E.; Battle, P.D.; Grandjean F.; Long, G.-J.; van Daesdonk, P.A.	11.95246(1) 11.95246(1) 11.95246(1) 90. 90. 90.	1707.54	293.00	0.101325	2009	10	
246356	P m -3 n	Nd18 Li8 Fe4 Mn O39	Li8Nd18Fe5O39	Dutton, S.E.; Battle, P.D.; Grandjean F.; Long, G.-J.; van Daesdonk, P.A.	11.92761(1) 11.92761(1) 11.92761(1) 90. 90. 90.	1696.92	3.30	0.101325	2009	10	
246357	P m -3 n	Nd18 Li8 Fe Mn4 O39	Li8Nd18Fe5O39	Dutton, S.E.; Battle, P.D.; Grandjean F.; Long, G.-J.; van Daesdonk, P.A.	11.92633(1) 11.92633(1) 11.92633(1) 90. 90. 90.	1696.37	293.00	0.101325	2009	10	
6270	P m -3 m	Mn4.5 Na3 (Si12 Al12 O48)	Ag10(Al12Si12)O48(Br2)6-frame	Yanagida, R.Y.; Vance, T.B.jr.; Seff, K.	12.175(3) 12.175(3) 12.175(3) 90. 90. 90.	1804.71	293.00	0.101325	1974	10	
8639	P m -3 m	Nd0.5 Ba0.5 Mn0.5 Fe0.5 O2.86	CaTiO3	Gilev, A.R.; Kiselev, E.A.; Mychinko, M.Yu.; Cherepanov, V.A.	3.8982(1) 3.8982(1) 3.8982(1) 90. 90. 90.	59.24	293.00	0.101325	2019	10	
91572	P m -3 m	(Ba0.5 La0.5) (Mn0.5 Ru0.5) O3	CaTiO3	Horikubi, T.; Kamegashira, N.	3.96309(8) 3.96309(8) 3.96309(8) 90. 90. 90.	62.24	293.00	0.101325	2000	10	
126305	P m -3 m	(La0.67 Ba0.33) (Mn0.98 Ti0.02) O3	CaTiO3	Oumezzine, Ma.; Zemni, S.; Peña, O.	3.9119(2) 3.9119(2) 3.9119(2) 90. 90. 90.	59.86	293.00	0.101325	2010	10	
131579	P m -3 m	Sr (Mn Ti Sb)0.33 O3	CaTiO3	Kumar, Lalit; Datta, Joydeep; Ray, Partha Pratim; Mandal, Tapas Kumar	3.9445(6) 3.9445(6) 3.9445(6) 90. 90. 90.	61.37	293.00	0.101325	2020	10	
