CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
7812	P 63/m m c	Ba2 Fe (Mn0.5 W0.5) O6	BaFeO3-x	García-Ramos, Crisanto A.; Larrégola, Sebastián; Retuerto, María; Fernández-Díaz, María Teresa; Krezhov, Kiril; Alonso, José Antonio	5.74084(9) 5.74084(9) 14.05383(3) 90. 90. 120.	401.12	295.00	0.101325	2018	10	
25238	P 63/m m c	Na0.71 Li0.12 Mn0.8 Fe0.2 O2	NaxCoO2	Stansby, Jennifer H.; Avdeev, Maxim; Brand, Helen E.A.; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Sharma, Neeraj; Rojo, Teófilo	2.8816(1) 2.8816(1) 11.2057(4) 90. 90. 120.	80.58	293.00	0.101325	2021	10	
25239	P 63/m m c	Na0.71 Li0.12 Mn0.8 Fe0.2 O2	NaxCoO2	Stansby, Jennifer H.; Avdeev, Maxim; Brand, Helen E.A.; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Sharma, Neeraj; Rojo, Teófilo	2.8816(1) 2.8816(1) 11.2057(4) 90. 90. 120.	80.58	293.00	0.101325	2021	10	
29942	P 63/m	Sr5 (Mn O4)3 F0.90 (O H)0.10	Ca5(PO4)3(OH)-[P63/m]	Varela, Aurea; Gómez-Recio, Isabel; Serrador, Laura; Hernando, María; Matesanz, Emilio; Torres-Pardo, Almudena; Fernández-Díaz, María Teresa; Martínez, Jose L.; Gonell, Francisco; Rousse, Gwenaelle; Sanchez, Clément; Laberty-Robert, Christel; Portehault, David; 	9.90381(9) 9.90381(9) 7.44188(9) 90.0000 90.0000 120.000	632.14	300.00	0.101325	2020	10	
29944	P 63/m	Sr5 (Mn0.942 Si0.058 O4)3 F0.83	Ca5(PO4)3(OH)-[P63/m]	Varela, Aurea; Gómez-Recio, Isabel; Serrador, Laura; Hernando, María; Matesanz, Emilio; Torres-Pardo, Almudena; Fernández-Díaz, María Teresa; Martínez, Jose L.; Gonell, Francisco; Rousse, Gwenaelle; Sanchez, Clément; Laberty-Robert, Christel; Portehault, David; 	9.90213(11) 9.90213(11) 7.44471(10) 90.0000 90.0000 120.000	632.16	300.00	0.101325	2020	10	
29945	P 63/m	Sr5 (Mn0.947 Si0.053 O4)3 (O H)0.84	Ca5(PO4)3(OH)-[P63/m]	Varela, Aurea; Gómez-Recio, Isabel; Serrador, Laura; Hernando, María; Matesanz, Emilio; Torres-Pardo, Almudena; Fernández-Díaz, María Teresa; Martínez, Jose L.; Gonell, Francisco; Rousse, Gwenaelle; Sanchez, Clément; Laberty-Robert, Christel; Portehault, David; 	9.95720(16) 9.95720(16) 7.44779(16) 90.0000 90.0000 120.000	639.48	300.00	0.101325	2020	10	
32224	P 63/m m c	Na0.7 Mn0.66 Ni0.17 Co0.17 O2	NaxCoO2	Huang, Qun; Feng, Yiming; Xu, Sheng; Xiao, Lei; He, Pingge; Ji, Xiaobo; Wang, Peng; Zhou, Liangjun; Wei, Weifeng	2.862(7) 2.862(7) 11.202(5) 90. 90. 120.	79.46	293.00	0.101325	2020	10	
35810	P 63/m m c	Na0.67 Mn0.5 Co0.4 Fe0.1 O2	NaxCoO2	Chu, Shiyong; Zhang, Chunchen; Xu, Hang; Guo, Shaohua; Wang, Peng; Zhou, Haoshen	2.8426(6) 2.8426(6) 11.2321(5) 90. 90. 120.	78.60	293.00	0.101325	2021	10	
35811	P 63/m m c	Na0.67 Mn0.5 Co0.3 Fe0.2 O2	NaxCoO2	Chu, Shiyong; Zhang, Chunchen; Xu, Hang; Guo, Shaohua; Wang, Peng; Zhou, Haoshen	2.8681(1) 2.8681(1) 11.2162(3) 90. 90. 120.	79.90	293.00	0.101325	2021	10	
50268	P -6	Pb9 Ca5.44 Mn0.56 (Si O4)3 (Si2 O7)3	Pb5GeO4Ge2O7	Carlson, S.; Norrestam, R.; Holstam, D.; Spengler, R.	9.8456(3) 9.8456(3) 10.1438(4) 90. 90. 120.	851.56	293.00	0.101325	1997	10	
64793	P -6	Pb9 Ca5 Mn (Si2 O7)3 (Si O4)3	Pb5GeO4Ge2O7	Dunn, P.T.; Peacor, D.R.; Valley, J.W.; Randall, C.A.	9.85(5) 9.85(5) 10.13(5) 90. 90. 120.	851.16	293.00	0.101325	1985	10	
70641	P 63/m m c	(Na0.62 K0.05) Fe0.5 Mn0.5 O2	NaxCoO2	Tang, Guangxia; Chen, Ziwei; Lin, Zhiye; Luo, Sen; Chen, Tianwei; Chen, Jiakun; Xiang, Wenjin; Li, Weishan; Chen, Min	2.9179(7) 2.9179(7) 11.2767(2) 90. 90. 120.	83.15	293.00	0.101325	2023	10	
70642	P 63/m m c	(Na0.59 K0.08) Fe0.5 Mn0.5 O2	NaxCoO2	Tang, Guangxia; Chen, Ziwei; Lin, Zhiye; Luo, Sen; Chen, Tianwei; Chen, Jiakun; Xiang, Wenjin; Li, Weishan; Chen, Min	2.9153(2) 2.9153(2) 11.2871(2) 90. 90. 120.	83.08	293.00	0.101325	2023	10	
70643	P 63/m m c	(Na0.57 K0.1) Fe0.5 Mn0.5 O2	NaxCoO2	Tang, Guangxia; Chen, Ziwei; Lin, Zhiye; Luo, Sen; Chen, Tianwei; Chen, Jiakun; Xiang, Wenjin; Li, Weishan; Chen, Min	2.9135(1) 2.9135(1) 11.3013(2) 90. 90. 120.	83.08	293.00	0.101325	2023	10	
97525	P 63/m m c	Ba6 Ru2 Na2 Mn2 O17	Ba6Nd2Ti4O17	Quarez, E.; Abraham, F.; Mentre, O.	5.8323(1) 5.8323(1) 29.5299(3) 90 90 120	869.91	293.00	0.101325	2003	10	
97528	P 63/m m c	Ba6 Ru2 Na2 Mn2 O17	Ba6Nd2Ti4O17	Quarez, E.; Abraham, F.; Mentre, O.	5.8324(1) 5.8324(1) 29.5307(3) 90 90 120	869.96	300.00	0.101325	2003	10	
112715	P 63/m m c	Na0.667 Mn0.8 Zn0.1 Cu0.1 O2	NaxCoO2	Stansby, Jennifer H.; Sharma, Neeraj; Avdeev, Maxim; Brand, Helen E.A.; Johannessen, Bernt; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Rojo, Teófilo	2.9180(1) 2.9180(1) 11.2155(1) 90. 90. 120.	82.70	293.00	0.101325	2021	10	
112716	P 63/m m c	Na0.667 Mn0.8 Zn0.1 Al0.1 O2	NaxCoO2	Stansby, Jennifer H.; Sharma, Neeraj; Avdeev, Maxim; Brand, Helen E.A.; Johannessen, Bernt; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Rojo, Teófilo	2.9836(2) 2.9836(2) 11.2265(4) 90. 90. 120.	86.55	293.00	0.101325	2021	10	
112717	P 63/m m c	Na0.667 Mn0.8 Zn0.1 Ti0.1 O2	NaxCoO2	Stansby, Jennifer H.; Sharma, Neeraj; Avdeev, Maxim; Brand, Helen E.A.; Johannessen, Bernt; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Rojo, Teófilo	2.9154(2) 2.9154(2) 11.2303(5) 90. 90. 120.	82.66	293.00	0.101325	2021	10	
112718	P 63/m m c	Na0.667 Mn0.8 Fe0.1 Cu0.1 O2	NaxCoO2	Stansby, Jennifer H.; Sharma, Neeraj; Avdeev, Maxim; Brand, Helen E.A.; Johannessen, Bernt; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Rojo, Teófilo	2.9199(7) 2.9199(7) 11.2341(7) 90. 90. 120.	82.95	293.00	0.101325	2021	10	
112719	P 63/m m c	Na0.667 Mn0.8 Fe0.1 Al0.1 O2	NaxCoO2	Stansby, Jennifer H.; Sharma, Neeraj; Avdeev, Maxim; Brand, Helen E.A.; Johannessen, Bernt; Gonzalo, Elena; Drewett, Nicholas E.; Ortiz-Vitoriano, Nagore; Rojo, Teófilo	2.8962(1) 2.8962(1) 11.1664(2) 90. 90. 120.	81.12	293.00	0.101325	2021	10	
