CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
6171	C 1 2/m 1	(Mg1.81 Mn0.08 Fe0.01) Mn O2 (B O3)	(Mg,Mn)3BO5	Moore, P.B.; Araki, T.	21.790(10) 5.977(5) 5.341(5) 90. 95.83(5) 90.	692.01	293.00	0.101325	1974	10	
7810	P 1 21/n 1	Ca2 Fe (Mn0.5 W0.5) O6	Ba2LaRuO6(mcl)	García-Ramos, Crisanto A.; Larrégola, Sebastián; Retuerto, María; Fernández-Díaz, María Teresa; Krezhov, Kiril; Alonso, José Antonio	5.40873(16) 5.47757(17) 7.68234(25) 90. 90.03(1) 90.	227.60	295.00	0.101325	2018	10	
8188	P 1 21/n 1	Mn4 (As Si3 O12 (O H))		Gramaccioli, C.M.; Pilati, T.; Liborio, G.	6.681(1) 19.9280(30) 7.583(1) 90. 95.50(1) 90.	1004.94	293.00	0.101325	1979	10	
8328	C 1 2/m 1	Li0.89 Mn0.40 Ni0.11 Co0.10 O1.44	Li2MnO3	Ishida, Naoya; Nishigami, Ryuta; Kitamura, Naoto; Idemoto, Yasushi	4.9408(2) 8.5538(2) 5.0250(1) 90. 109.237(3) 90.	200.51	293.00	0.101325	2017	10	
8329	C 1 2/m 1	Li0.09 Mn0.40 Ni0.10 Co0.10 O1.11		Ishida, Naoya; Nishigami, Ryuta; Kitamura, Naoto; Idemoto, Yasushi	4.914(1) 8.5538(8) 5.094(1) 90. 108.81(2) 90.	202.68	293.00	0.101325	2017	10	
12137	C 1 2/m 1	(Mn5 Sb2) (Mn8 Al4 Si2 O28)		Moore, P.B.; Araki, T.; Brunton, G.D.	5.617(2) 23.02(2) 9.079(6) 90. 101.38(5) 90.	1150.87	293.00	0.101325	1976	10	
12968	C 1 2/c 1	(Ag0.152 Na1.848) Mn3 (V O4)3	NaCu4(AsO4)3	Ben Yahia, Hamdi; Shikano, Masahiro	11.895(2) 13.126(2) 6.8361(12) 90 111.767(3) 90	991.24	293.00	0.101325	2019	10	
12969	C 1 2/c 1	(Ag1.377 Na0.623) Mn3 (V O4)3	NaCu4(AsO4)3	Ben Yahia, Hamdi; Shikano, Masahiro	12.1124(19) 13.1761(19) 6.9043(12) 90 112.153(3) 90	1020.54	293.00	0.101325	2019	10	
13395	C 1 2/c 1	Na2 Ba Mn (V O4)2		Sanjeewa, Liurukara D.; Garlea, V. Ovidiu; McGuire, Michael A.; McMillen, Colin D.; Kolis, Joseph W.	9.5922(6) 5.6275(4) 14.2358(11) 90 90.184(3) 90	768.44	123.00	0.101325	2019	10	
17782	P 1 n 1	Ca2 Mn As14 O24 Cl		Kampf, Anthony R.; Mills, Stuart J.; Nash, Barbara; Dini, Maurizio; Molina Donoso, Arturo A.	14.7231(6) 5.58709(19) 17.4185(12) 90 112.451(8) 90	1324.23	293.00	0.101325	2020	10	
18373	P 1 21/c 1	Gd Mg0.95 Mn0.05 B5 O10	LaCoB5O10	Bulyk, L.-I.; Vasylechko, L.; Mykhaylyk, V.; Tang, C.; Zhydachevskyy, Ya.; Hizhnyi, Y.A.; Nedilko, S.G.; Klyui, N.I.; Suchocki, A.	8.61331(4) 7.58825(4) 12.37603(4) 90. 130.835(1) 90.	612.00	293.00	0.101325	2020	10	
18375	P 1 21/c 1	Gd Zn0.95 Mn0.05 B5 O10	LaCoB5O10	Bulyk, L.-I.; Vasylechko, L.; Mykhaylyk, V.; Tang, C.; Zhydachevskyy, Ya.; Hizhnyi, Y.A.; Nedilko, S.G.; Klyui, N.I.; Suchocki, A.	8.59823(4) 7.60803(4) 12.36259(4) 90. 130.617(1) 90.	613.87	293.00	0.101325	2020	10	
19648	C 1 2/m 1	Li1.18 Co0.1135 Ni0.1135 Mn0.64 O2	Li2MnO3	Wang, Liguang; Dai, Alvin; Xu, Wenqian; Lee, Sungsik; Cha, Wonsuk; Harder, Ross; Liu, Tongchao; Ren, Yang; Yin, Geping; Zuo, Pengjian; Wang, Jun; Lu, Jun; Wang, Jiajun	4.9506(4) 8.5212(6) 5.0258(2) 90. 109.36(4) 90.	200.03	293.00	0.101325	2020	10	
19953	C 1 2/m 1	Li2.967 Na0.033 Mn Ti3 O9		Akimoto, Junji; Kijima, Norihito; Kataoka, Kunimitsu; Hayakawa, Hiroshi	21.1697(18) 2.8926(1) 10.6314(6) 90. 102.531(4) 90.	635.51	293.00	0.101325	2020	10	
24437	C 1 2/m 1	Li2 (Ni0.23 Co0.12 Mn0.65) O3	Li2MnO3	Sallard, Sebastien; Billaud, Juliette; Sheptyakov, Denis; Novák, Petr; Villevieille, Claire	4.9458(3) 8.5560(6) 5.0279(4) 90. 109.316(5) 90.	200.79	293.00	0.101325	2020	10	
25709	P 1 21/a 1	Zn2 Mn ((O H)2 (Si O4))	Zn2Mn(SiO4)(OH)2	Rentzeperis, P.J.	8.170(2) 5.316(2) 11.761(2) 90. 95.25(8) 90.	508.66	293.00	0.101325	1963	10	
26071	P 1 21/m 1	K2 (Mn F5) (H2 O)	K2MnF5H2O	Edwards, A.J.	6.04(1) 8.20(1) 5.94(1) 90. 96.5(2) 90.	292.31	293.00	0.101325	1971	10	
26908	P 1 21/n 1	Mn6 (V Si5 O18 (O H))		Gramaccioli, C.M.; Liborio, G.; Pilati, T.	6.712(1) 28.948(8) 7.578(2) 90. 95.40(2) 90.	1465.86	293.00	0.101325	1981	10	
28519	A 1 2/a 1	(Zn0.2 Mn0.08 Fe0.24 Ti0.44)2 Ti2 O7		Nikolaeva, L.E.; Belov, N.V.	5.225(5) 8.955(7) 9.783(7) 90. 107. 90.	437.74	293.00	0.101325	1970	10	
28551	C 1 2/c 1	Ca0.91 Mn0.18 Fe0.91 Si2 O6	CaMg(SiO3)2	Maslenikov, A.V.; Rozhdestvenskaya, I.V.; Zaitsev, V.N.	9.852(4) 9.031(3) 5.242(3) 90. 104.84(4) 90.	450.84	293.00	0.101325	1978	10	
33723	C 1 2/m 1	Mg1.9 Mn0.91 Sb0.19 O2 (B O3)		Norrestam, R.; Hansen, S.	21.7730(40) 6.153(2) 5.327(2) 90. 94.38(2) 90.	711.57	293.00	0.101325	1990	10	
37548	P 1 21/n 1	La2 (Ni0.2 Co0.8) Mn O6	Na3AlF6	Harbi, A.; Moutaabbid, H.; Li, Y.; Renero-Lecuna, Carlos; Fialin, M.; Le Godec, Y.; Benmokhtar, S.; Moutaabbid, M.	5.522(1) 5.482(4) 7.768(7) 90. 90.08(2) 90.	235.15	293.00	0.101325	2019	10	
37549	P 1 21/n 1	La2 (Ni0.25 Co0.75) Mn O6	Na3AlF6	Harbi, A.; Moutaabbid, H.; Li, Y.; Renero-Lecuna, Carlos; Fialin, M.; Le Godec, Y.; Benmokhtar, S.; Moutaabbid, M.	5.518(4) 5.472(1) 7.754(9) 90. 90.08(5) 90.	234.12	293.00	0.101325	2019	10	
37550	P 1 21/n 1	La2 (Ni0.5 Co0.5) Mn O6	Na3AlF6	Harbi, A.; Moutaabbid, H.; Li, Y.; Renero-Lecuna, Carlos; Fialin, M.; Le Godec, Y.; Benmokhtar, S.; Moutaabbid, M.	5.515(6) 5.469(6) 7.752(7) 90. 90.07(8) 90.	233.81	293.00	0.101325	2019	10	
37551	P 1 21/n 1	La2 (Ni0.75 Co0.25) Mn O6	Na3AlF6	Harbi, A.; Moutaabbid, H.; Li, Y.; Renero-Lecuna, Carlos; Fialin, M.; Le Godec, Y.; Benmokhtar, S.; Moutaabbid, M.	5.522(2) 5.480(8) 7.766(6) 90. 90.12(1) 90.	235.00	293.00	0.101325	2019	10	
37552	P 1 21/n 1	La2 (Ni0.8 Co0.2) Mn O6	Na3AlF6	Harbi, A.; Moutaabbid, H.; Li, Y.; Renero-Lecuna, Carlos; Fialin, M.; Le Godec, Y.; Benmokhtar, S.; Moutaabbid, M.	5.515(8) 5.467(2) 7.750(1) 90. 90.04(4) 90.	233.67	293.00	0.101325	2019	10	
39593	C 1 2 1	Sr2 Ba Mn2 O2 (Si O3)4	BaSr2Mn2O2(SiO3)4	Yamnova, N.A.; Kalacheva, L.V.; Pushcharovskii, D.Yu.; Kalinin, V.V.	14.59(1) 7.769(9) 5.141(3) 90. 93.28(6) 90.	581.78	293.00	0.101325	1992	10	
45909	P 1 21/c 1	Cu1.888 Ga0.313 Mn0.801 (B O5)		Moshkina, Evgeniya; Eremin, Evgeniy; Velikanov, Dmitriy; Bovina, Asya; Molokeev, Maxim; Seryotkin, Yurii; Cherosov, Mikhail; Batulin, Ruslan; Nemtsev, Ivan; Bezmaternykh, Leonard	3.14190(6) 11.9844(2) 9.43628(17) 90 97.1684(18) 90	352.53	293.00	0.101325	2022	10	
49840	P 1 21/n 1	La1.876 Gd0.124 Ni0.826 Mn1.22 O6	Ba2LaRuO6(mcl)	Kumar, Raju; Bhowmik, R.N.; Sinha, A.K.	5.5038(6) 5.4733(6) 7.8667(9) 90. 88.961(13) 90.	236.94	293.00	0.101325	2022	10	
49842	P 1 21/n 1	La1.882 Ho0.118 Ni1.024 Mn1.024 O6	Ba2LaRuO6(mcl)	Kumar, Raju; Bhowmik, R.N.; Sinha, A.K.	5.4820(6) 5.4792(7) 7.7753(9) 90. 89.614(30) 90.	233.54	293.00	0.101325	2022	10	
56863	C 1 2/c 1	Mn (Sn0.48 Ta1.42) (Ta0.7 Nb0.3) O8	LiFe(WO4)2	Graham, J.; Thornber, M.R.	9.530(7) 11.490(8) 5.098(6) 90. 91.21(6) 90.	558.10	293.00	0.101325	1974	10	
61243	P 1 21/m 1	Cu (N H3)4 (Mn O4)2		Seferiadis, N.; Dubler, E.; Oswald, H.R.	5.413(1) 9.093(1) 10.749(1) 90. 96.18(1) 90.	526.00	293.00	0.101325	1986	10	
63104	C 1 2/c 1	K (Mn F4 (H2 O))	KMnF4(H2O)	Massa, W.; Baum, G.; Drueeke, S.	13.891(2) 6.212(1) 10.484(2) 90. 104.74(2) 90.	874.90	293.00	0.101325	1988	10	
66005	C 1 2/c 1	((H2 O)6 Mn) ((H2 O) F5 Fe)		Herdtweck, E.; Massa, W.	11.182(3) 14.168(4) 13.264(3) 90. 100.51(2) 90.	2066.12	296.00	0.101325	1989	10	
67040	P 21/b 1 1	(Mn8.12 Mg0.9) (Si O4)4 (O H)2	Mg9(SiO4)4(OH)2	Kato, T.; Ito, Y.; Hashimoto, N.	4.872(5) 10.669(12) 14.287(7) 100.3(1) 90. 90.	730.66	293.00	0.101325	1989	10	
71837	C 1 2/c 1	Tl (Mn F4) (H2 O)	KMnF4(H2O)	Nunez, P.; Tressaud, A.; Hahn, F.; Massa, W.; Babel, D.; Boireau, A.; Soubeyroux, J.L.	13.6775(1) 6.5865(2) 10.3890(3) 90. 103.176(1) 90.	911.27	20.00	0.101325	1991	10	
71838	C 1 2/c 1	Rb (Mn F4) (H2 O)	KMnF4(H2O)	Nunez, P.; Tressaud, A.; Hahn, F.; Massa, W.; Babel, D.; Boireau, A.; Soubeyroux, J.L.	13.838(7) 6.429(5) 10.486(1) 90. 103.97(1) 90.	905.29	20.00	0.101325	1991	10	
72053	C 1 2/c 1	Mn (As O4) (D2 O)0.899 (H2 O)0.101	MgSO4(H2O)	Aranda, M.A.G.; Attfield, J.P.; Bruque, S.; Palacio, F.	6.8707(3) 7.6958(3) 7.3121(3) 90. 112.221(2) 90.	357.92	4.00	0.101325	1992	10	
74006	C 1 2 1	Ba Sr2 (Mn2 Si4 O14)	BaSr2Mn2O2(SiO3)4	Armbruster, T.; Oberhaensli, R.; Kunz, M.	14.600(2) 7.759(4) 5.142(1) 90. 93.25(2) 90.	581.56	293.00	0.101325	1993	10	
74965	P 1 21/m 1	(Ag (H2 O)2) (Mn F4 (H2 O)2)		Molinier, M.; Massa, W.	7.009(2) 7.261(1) 7.494(3) 90. 107.17(3) 90.	364.39	293.00	0.101325	1994	10	
78676	P 1 21/c 1	(Mn1.812 Mg0.188) (B2 O4 (O H)2)	Mg2(OH)2B2O4	Hoffmann, C.; Armbruster, T.	3.287(1) 10.718(2) 12.866(3) 90. 94.75(3) 90.	451.71	293.00	0.101325	1995	10	
