CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
2435	C m c m	Rb2 (Mn F5) (H2 O)	Rb2MnF5H2O	Bukovec, P.; Kaucic, V.	9.383(2) 8.214(3) 8.348(2) 90. 90. 90.	643.40	293.00	0.101325	1978	10	
8541	P b c m	Mn4 (Mn5 Bi) (Se O3)8 Cl5		Kovrugin, Vadim M.; Colmont, Marie; Siidra, Oleg I.; Charkin, Dmitry O.; Aliev, Almaz; Krivovichev, Sergey V.; Mentré, Olivier	10.7914(2) 15.9782(3) 17.5682(3) 90 90 90	3029.23	293.00	0.101325	2019	10	
9689	P b n m	Mg0.75 Fe1.10 Mn0.15 Si O4	Mg2SiO4	Smyth, J.R.; Hazen, R.M.	4.798(1) 10.387(1) 6.055(1) 90. 90. 90.	301.76	293.00	0.101325	1973	10	
9690	P b n m	Mg0.75 Fe1.10 Mn0.15 Si O4	Mg2SiO4	Smyth, J.R.; Hazen, R.M.	4.809(1) 10.419(1) 6.080(1) 90. 90. 90.	304.64	573.00	0.101325	1973	10	
9691	P b n m	Mg0.75 Fe1.10 Mn0.15 Si O4	Mg2SiO4	Smyth, J.R.; Hazen, R.M.	4.822(1) 10.456(1) 6.101(1) 90. 90. 90.	307.61	873.00	0.101325	1973	10	
9692	P b n m	Mg0.75 Fe1.10 Mn0.15 Si O4	Mg2SiO4	Smyth, J.R.; Hazen, R.M.	4.838(1) 10.492(1) 6.136(1) 90. 90. 90.	311.47	1173.00	0.101325	1973	10	
12140	P b c n	(Mn0.97 Ti0.03) (Ta0.64 Nb0.36)2 O6	Nb2FeO6	Grice, J.D.; Ferguson, R.B.; Hawthorne, F.C.	14.413(3) 5.760(1) 5.084(1) 90. 90. 90.	422.07	293.00	0.101325	1976	10	
12141	P b c n	Ta0.42 Mn0.30 Nb0.24 Ti0.02 O2	α−PbO2	Grice, J.D.; Ferguson, R.B.; Hawthorne, F.C.	4.785(2) 5.758(2) 5.160(2) 90. 90. 90.	142.17	293.00	0.101325	1976	10	
14567	P n m a	Sr (Mn0.2 Nb0.8) (O2.6 N0.4)	LaZrO2N	Kim, Young-Il; Avdeev, Maxim	5.70547(7) 8.0869(1) 5.6985(1) 90. 90. 90.	262.93	293.00	0.101325	2020	10	
14568	P n m a	Sr (Mn0.2 Ta0.8) (O2.6 N0.4)	LaZrO2N	Kim, Young-Il; Avdeev, Maxim	5.70377(5) 8.05796(7) 5.71410(5) 90. 90. 90.	262.63	293.00	0.101325	2020	10	
