HMS,StructuredFormula,Temperature,Pressure,crystal_system,StructuredFormula_normalized
P 4/m m m,Nd Ba Mn Fe O5.45,293.0,0.101325,tetragonal,NdBaMnFeO5.45
P 4/m m m,Nd Ba Mn Fe O5.17,293.0,0.101325,tetragonal,NdBaMnFeO5.17
P 4/m m m,Nd Ba Mn Fe O5.09,293.0,0.101325,tetragonal,NdBaMnFeO5.09
I 4/m m m,Sr2 Mn2.275 Cr0.725 As2 O2,300.0,0.101325,tetragonal,Sr2Mn2.275Cr0.725As2O2
P 42 m c,Ca Mn (Ti0.9 V0.1)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.9V0.1)2O6
P 42 m c,Ca Mn (Ti0.8 V0.2)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.8V0.2)2O6
P 42 m c,Ca Mn (Ti0.7 V0.3)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.7V0.3)2O6
P 42 m c,Ca Mn (Ti0.6 V0.4)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.6V0.4)2O6
P 42 m c,Ca Mn (Ti0.5 V0.5)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.5V0.5)2O6
P 42 m c,Ca Mn (Ti0.4 V0.6)2 O6,293.0,0.101325,tetragonal,CaMn(Ti0.4V0.6)2O6
P 4/m,La4 Ba Cu4 Mn O13.5,293.0,0.101325,tetragonal,La4BaCu4MnO13.5
P 4/m,La4 Ba Cu3 Mn2 O13.86,293.0,0.101325,tetragonal,La4BaCu3Mn2O13.86
I 4/m m m,K2 Mn Cl4 (H2 O)2,293.0,0.101325,tetragonal,K2MnCl4(H2O)2
P 42/n m c Z,Y2 Cu Ga Mn4 O12,297.0,0.101325,tetragonal,Y2CuGaMn4O12
I 4/m m m,Eu3 Ba2 Mn2 Cu2 O12.091,298.0,0.101325,tetragonal,Eu3Ba2Mn2Cu2O12.091
I 4/m m m,Eu3 Ba2 Mn2 Cu2 O12.122,298.0,0.101325,tetragonal,Eu3Ba2Mn2Cu2O12.122
I 4/m m m,Sm3 Ba2 Mn2 Cu2 O12.15,298.0,0.101325,tetragonal,Sm3Ba2Mn2Cu2O12.15
I 4/m m m,La2 Sr2 Zn Mn O8,293.0,0.101325,tetragonal,La2Sr2ZnMnO8
I 4/m m m,La2 Sr2 Mg Mn O8,293.0,0.101325,tetragonal,La2Sr2MgMnO8
P 42/m b c,Pb Bi Fe0.85 Mn0.15 O4,300.0,0.101325,tetragonal,PbBiFe0.85Mn0.15O4
P 42/n m c Z,Sm2 Mn Zn Mn3 Ti O12,293.0,0.101325,tetragonal,Sm2MnZnMn3TiO12
P 42/n m c Z,Sm2 Mn Zn Mn Ti3 O12,293.0,0.101325,tetragonal,Sm2MnZnMnTi3O12
P 4 2 2,(Sr La) Mg0.5 Mn0.5 O4,293.0,0.101325,tetragonal,(SrLa)Mg0.5Mn0.5O4
P 4 2 2,Sr La Zn0.5 Mn0.5 O4,293.0,0.101325,tetragonal,SrLaZn0.5Mn0.5O4
I 4/m m m,Eu3 Ba2 Mn2 Cu2 O12,293.0,0.101325,tetragonal,Eu3Ba2Mn2Cu2O12
I 4/m m m,(Dy0.217 Sr0.717)2 (Mn0.760 Ni0.190) O4,293.0,0.101325,tetragonal,(Dy0.217Sr0.717)2(Mn0.760Ni0.190)O4
I 4/m m m,(Dy0.225 Sr0.717)2 (Mn0.379 Ni0.568) O4,293.0,0.101325,tetragonal,(Dy0.225Sr0.717)2(Mn0.379Ni0.568)O4
I 4/m m m,(Dy0.243 Sr0.717)2 (Mn0.190 Ni0.759) O4,293.0,0.101325,tetragonal,(Dy0.243Sr0.717)2(Mn0.190Ni0.759)O4
I 4/m m m,Ba2 (Mn O2) (Zn2 As2),295.0,0.101325,tetragonal,Ba2(MnO2)(Zn2As2)
I 4/m m m,(Sr2 La) (Mn Fe) O6.88,293.0,0.101325,tetragonal,(Sr2La)(MnFe)O6.88
I 4/m m m,(Sr2 La) (Mn1.5 Fe0.5) O6.91,293.0,0.101325,tetragonal,(Sr2La)(Mn1.5Fe0.5)O6.91
I 4/m m m,Sr4 Cu2 Mn3 O7.5 Se2,293.0,0.101325,tetragonal,Sr4Cu2Mn3O7.5Se2
I 4/m m m,Sr2 (Mn0.996 Zn1.88 As2 O2),293.0,0.101325,tetragonal,Sr2(Mn0.996Zn1.88As2O2)
I 4/m m m,La3 Sr Li Mn O8,293.0,0.101325,tetragonal,La3SrLiMnO8
I 41/a m d Z,(Mn0.655 Co0.19 Ni0.155) (Mn0.697 Cu0.045 Ni0.258)2 O4,293.0,0.101325,tetragonal,(Mn0.655Co0.19Ni0.155)(Mn0.697Cu0.045Ni0.258)2O4
P 4/n m m Z,La Sr (Mn O4) F,293.0,0.101325,tetragonal,LaSr(MnO4)F
P 4/n m m Z,(La1.2 Sr1.8) (Mn2 O7) F,293.0,0.101325,tetragonal,(La1.2Sr1.8)(Mn2O7)F
I 41/a m d Z,(Mn0.977 Zn0.021 Mg0.002) (Mn1.997 Al0.005) O4,293.0,0.101325,tetragonal,(Mn0.977Zn0.021Mg0.002)(Mn1.997Al0.005)O4
I 41/a m d Z,(Mn0.981 Zn0.018 Mg0.001) (Mn1.999 Al0.003) O4,293.0,0.101325,tetragonal,(Mn0.981Zn0.018Mg0.001)(Mn1.999Al0.003)O4
I 4/m m m,La1.2 (Sr1.44 Ca0.36) (Mn2 O7),293.0,0.101325,tetragonal,La1.2(Sr1.44Ca0.36)(Mn2O7)
P 4/m m m,(Mn0.97 Cl0.92) La (Nb2 O7),293.0,0.101325,tetragonal,(Mn0.97Cl0.92)La(Nb2O7)
I 4/m m m,(Sr1.2 Nd0.8) (Mn0.6 Rh0.4) O4,293.0,0.101325,tetragonal,(Sr1.2Nd0.8)(Mn0.6Rh0.4)O4
I 41/a m d Z,(Cu0.1 Ni0.61 Co0.2 Mn2.09) O4,293.0,0.101325,tetragonal,(Cu0.1Ni0.61Co0.2Mn2.09)O4
P 4/m m m,Sr2 (Mn Ga (O4.78 F1.22)),293.0,0.101325,tetragonal,Sr2(MnGa(O4.78F1.22))
I 41/a c d Z,Ca Mn11.62 Fe2.38 Si O24,293.0,0.101325,tetragonal,CaMn11.62Fe2.38SiO24
I 4/m m m,Sr2 La Co Mn O7,293.0,0.101325,tetragonal,Sr2LaCoMnO7
I 4/m m m,Sr2 La Fe Mn O7,293.0,0.101325,tetragonal,Sr2LaFeMnO7
I 4/m m m,La Sr3 Mn1.5 Fe1.5 O9.71,293.0,0.101325,tetragonal,LaSr3Mn1.5Fe1.5O9.71
P 4/n m m Z,Pr Mn As O0.95 F0.05,300.0,0.101325,tetragonal,PrMnAsO0.95F0.05
I 4/m c m,Pr0.5 Sr0.45 Ba0.05 Mn O3,293.0,0.101325,tetragonal,Pr0.5Sr0.45Ba0.05MnO3
I 4/m c m,Pr0.5 Sr0.3 Ba0.2 Mn O3,293.0,0.101325,tetragonal,Pr0.5Sr0.3Ba0.2MnO3
I 4/m c m,Pr0.5 Sr0.2 Ba0.3 Mn O3,293.0,0.101325,tetragonal,Pr0.5Sr0.2Ba0.3MnO3
I 4/m c m,Pr0.5 Sr0.1 Ba0.4 Mn O3,293.0,0.101325,tetragonal,Pr0.5Sr0.1Ba0.4MnO3
I 4/m m m,Sr2 Cr1.854 Mn1.146 As2 O2,300.0,0.101325,tetragonal,Sr2Cr1.854Mn1.146As2O2
I 4/m m m,(Sr1.18 La0.60 Ce0.20) Mn O3.96,293.0,0.101325,tetragonal,(Sr1.18La0.60Ce0.20)MnO3.96
I 4/m m m,(Sr1.10 La0.64 Ce0.26) Mn O3.88,293.0,0.101325,tetragonal,(Sr1.10La0.64Ce0.26)MnO3.88
P 42/n Z,Ca Mn0.786 Co1.214 W O6,293.0,0.101325,tetragonal,CaMn0.786Co1.214WO6
P 42/n m c Z,Dy2 Mn Zn Mn3 Ti O12,295.0,0.101325,tetragonal,Dy2MnZnMn3TiO12
P 42/n m c Z,Dy2 Mn Zn Mn2 Ti2 O12,295.0,0.101325,tetragonal,Dy2MnZnMn2Ti2O12
P 4/n m m Z,La1.2 Sr1.8 Mn2 O7 F,293.0,0.101325,tetragonal,La1.2Sr1.8Mn2O7F
I 4/m m m,La1.2 Sr1.8 Mn2 O7 F2,293.0,0.101325,tetragonal,La1.2Sr1.8Mn2O7F2
I 4/m,Sr La Mn W O6,293.0,0.101325,tetragonal,SrLaMnWO6
I 4/m m m,La1.24 Sr1.76 (Mn1.9 Ru0.1 O7),293.0,0.101325,tetragonal,La1.24Sr1.76(Mn1.9Ru0.1O7)
I 4/m m m,La1.24 Sr1.76 (Mn1.82 Ru0.18 O7),293.0,0.101325,tetragonal,La1.24Sr1.76(Mn1.82Ru0.18O7)
I 4/m m m,La1.24 Sr1.76 (Mn1.52 Ru0.48 O7),293.0,0.101325,tetragonal,La1.24Sr1.76(Mn1.52Ru0.48O7)
I 4/m m m,Y0.5 (Y0.03 Sr1.47) (Mn1.33 Ga0.67) O5.27,295.0,0.101325,tetragonal,Y0.5(Y0.03Sr1.47)(Mn1.33Ga0.67)O5.27
I 4/m m m,Ca Sr3 ((Mn1.5 Fe1.5) O10),300.0,0.101325,tetragonal,CaSr3((Mn1.5Fe1.5)O10)
I 4/m m m,Ca Sr3 (Mn2 Fe O10),300.0,0.101325,tetragonal,CaSr3(Mn2FeO10)
P 4/m m m,(La0.5 Sr0.2 Ba0.3) (Mn O3),293.0,0.101325,tetragonal,(La0.5Sr0.2Ba0.3)(MnO3)
P 4/m m m,Nd Ba (Mn Co) O5,300.0,0.101325,tetragonal,NdBa(MnCo)O5
P 4/m m m,Nd Ba (Mn Co) O6,300.0,0.101325,tetragonal,NdBa(MnCo)O6
I 4/m c m,(Sr0.8 Ce0.2) (Mn0.8 Co0.2) O3,293.0,0.101325,tetragonal,(Sr0.8Ce0.2)(Mn0.8Co0.2)O3
I 4/m m m,Sr2 Mn2 Cu As2 O2,293.0,0.101325,tetragonal,Sr2Mn2CuAs2O2
I 4/m m m,Sr2 Mn (Mn1.26 Cu0.74) As2 O2,300.0,0.101325,tetragonal,Sr2Mn(Mn1.26Cu0.74)As2O2
I 41/a m d Z,Li0.60 Mg0.03 Mn0.44 Ni0.03 O,293.0,0.101325,tetragonal,Li0.60Mg0.03Mn0.44Ni0.03O
I 41/a m d Z,Li0.45 Mg0.03 Mn0.34 Ni0.14 O,293.0,0.101325,tetragonal,Li0.45Mg0.03Mn0.34Ni0.14O
I 4/m m m,(La1.5 Sr0.5) (Mn0.5 Cu0.5) O4,295.0,0.101325,tetragonal,(La1.5Sr0.5)(Mn0.5Cu0.5)O4
