CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
8640	P 4/m m m	Nd Ba Mn Fe O5.45	PrBaMn2O5+x	Gilev, A.R.; Kiselev, E.A.; Mychinko, M.Yu.; Cherepanov, V.A.	3.9745(1) 3.9745(1) 7.7311(2) 90. 90. 90.	122.13	293.00	0.101325	2019	10	
8641	P 4/m m m	Nd Ba Mn Fe O5.17	PrBaMn2O5+x	Gilev, A.R.; Kiselev, E.A.; Mychinko, M.Yu.; Cherepanov, V.A.	3.9867(1) 3.9867(1) 7.6976(1) 90. 90. 90.	122.34	293.00	0.101325	2019	10	
8642	P 4/m m m	Nd Ba Mn Fe O5.09	PrBaMn2O5+x	Gilev, A.R.; Kiselev, E.A.; Mychinko, M.Yu.; Cherepanov, V.A.	3.9889(1) 3.9889(1) 7.6924(1) 90. 90. 90.	122.40	293.00	0.101325	2019	10	
13775	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08327(6) 4.08327(6) 18.9936(3) 90. 90. 90.	316.69	1.50	0.101325	2020	10	
13776	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08342(6) 4.08342(6) 18.9945(3) 90. 90. 90.	316.72	25.00	0.101325	2020	10	
13777	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08395(6) 4.08395(6) 18.9985(3) 90. 90. 90.	316.88	75.00	0.101325	2020	10	
13778	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08445(6) 4.08445(6) 19.0042(3) 90. 90. 90.	317.03	100.00	0.101325	2020	10	
13779	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08501(6) 4.08501(6) 19.0077(3) 90. 90. 90.	317.19	120.00	0.101325	2020	10	
13780	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08704(6) 4.08704(6) 19.0213(3) 90. 90. 90.	317.72	160.00	0.101325	2020	10	
13781	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08906(11) 4.08906(11) 19.0337(6) 90. 90. 90.	318.26	200.00	0.101325	2020	10	
13782	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.09354(10) 4.09354(10) 19.0646(6) 90. 90. 90.	319.46	300.00	0.101325	2020	10	
13783	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08451(2) 4.08451(2) 19.0382(1) 90. 90. 90.	317.61	10.00	0.101325	2020	10	
13784	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08622(2) 4.08622(2) 19.0491(1) 90. 90. 90.	318.06	120.00	0.101325	2020	10	
13785	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08768(1) 4.08768(1) 19.0594(1) 90. 90. 90.	318.47	155.00	0.101325	2020	10	
13786	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.08901(2) 4.08901(2) 19.0671(1) 90. 90. 90.	318.80	180.00	0.101325	2020	10	
13787	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.09082(2) 4.09082(2) 19.0785(1) 90. 90. 90.	319.27	220.00	0.101325	2020	10	
13788	I 4/m m m	Sr2 Mn2.275 Cr0.725 As2 O2	Sr2Mn3Sb2O2	Lawrence, Gaynor B.; Wildman, Eve J.; Stenning, Gavin B.G.; Ritter, Clemens; Fauth, Francois; Mclaughlin, Abbie C.	4.09239(2) 4.09239(2) 18.9851(1) 90. 90. 90.	317.96	10.00	0.101325	2020	10	
