CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
8543	P -1	Mn Bi (Se O3)2 Cl		Kovrugin, Vadim M.; Colmont, Marie; Siidra, Oleg I.; Charkin, Dmitry O.; Aliev, Almaz; Krivovichev, Sergey V.; Mentré, Olivier	7.0926(8) 7.2695(6) 8.0160(8) 88.226(4) 72.005(3) 64.560(4)	352.46	293.00	0.101325	2019	10	
16977	P -1	Mn0.806 Ca0.162 Mg0.032 (Si O3)	MnSiO3-[aP50]	Peacor, D.R.; Niizeki, N.	7.6816(2) 11.8180(4) 6.7073(4) 92.355(6) 93.948(5) 105.665(4)	583.76	293.00	0.101325	1963	10	
31024	P -1	K (K0.72 Na0.28) Mn (Si4 O10)		Kiriukhina, G.V.; Yakubovich, O.V.; Dovgaliuk, I.N.; Dimitrova, O.V.; Volkov, A.S.	7.0182(4) 8.1642(7) 9.9670(11) 104.816(8) 101.099(8) 113.558(8)	477.28	293.00	0.101325	2020	10	
41243	P -1	Mn9 Al2 Si8 O24 (O H)8		Burns, P.C.; Hawthorne, F.C.	8.337(2) 10.367(2) 7.629(1) 104.46(1) 93.81(2) 104.18(1)	613.28	293.00	0.101325	1993	10	
96783	P -1	K2 Mn (Se O4)2 (H2 O)2	Ca2Mn(PO4)2(H2O)2	Fleck, M.; Kolitsch, U.	5.674(1) 6.608(1) 7.523(2) 110.31(3) 95.69(3) 108.35(3)	244.10	293.00	0.101325	2003	10	
100627	P -1	Ca2 Mn7 (Si10 O28) (O H)2 (H2 O)5		Wan, C.; Ghose, S.	8.889(2) 9.247(2) 11.957(3) 88.15(2) 132.07(2) 96.64(2)	723.32	293.00	0.101325	1978	10	
100655	C -1	(Mn3.14 Mg0.86) (Mn0.4 Ca0.6) (Si O3)5	MnSiO3-[aP50]	Peacor, D.R.; Essene, E.J.; Brown, P.E.; Winter, G.A.	9.797(3) 10.497(3) 12.185(4) 108.55(4) 103.02(4) 82.49(4)	1155.08	293.00	0.101325	1978	10	
117116	P -1	Na Mn2 (Si3 O8 (O H))	Ca2NaSi3O8(OH)	Jacobsen, Steven D.; Smyth, Joseph R.; Swope, R. Jeffrey; Sheldon, Robert I.	7.7165(4) 6.9064(5) 6.7624(5) 90.492(5) 94.085(5) 102.775(6)	350.47	293.00	0.101325	2000	10	
117117	P -1	Na Mn2 (Si3 O8 (O H))	Ca2NaSi3O8(OH)	Jacobsen, Steven D.; Smyth, Joseph R.; Swope, R. Jeffrey; Sheldon, Robert I.	7.7163(7) 6.9116(7) 6.7368(5) 90.465(7) 94.037(7) 102.844(7)	349.32	293.00	0.101325	2000	10	
134251	P -1	(Mn0.857 Ca0.082 Mg0.061) Mn4 (Si5 O15)	MnSiO3-[aP50]	Shchipalkina, Nadezhda V.; Pekov, Igor V.; Chukanov, Nikita V.; Zubkova, Natalia V.; Belakovskiy, Dmitry I.; Britvin, Sergey N.; Koshlyakova, Natalia N.	6.6980(3) 7.6203(3) 11.8473(5) 105.663(3) 92.400(3) 94.309(3)	579.37	293.00	0.101325	2020	10	
140548	P -1	(Ag0.15 Na1.85) Mn2 (Mo O4)3		Jendoubi, Imen; Issaoui, Chokri; Zid, Mohamed Faouzi	7.0668(8) 8.7951(9) 10.3871(16) 106.533(9) 105.555(8) 103.084(6)	563.29	298.00	0.101325	2019	10	
161983	C -1	(Mn0.915 Fe0.0021 Mg0.083) (Si O3)	MnSiO3(aP70)	Zanazzi, P.F.; Nestola, F.; Nazzareni, S.; Comodi, P.	9.663(3) 10.457(3) 17.360(3) 112.28(2) 103.13(2) 82.88(2)	1579.37	293.00	0.101325	2008	10	
161984	C -1	(Mn0.915 Fe0.0021 Mg0.083) (Si O3)	MnSiO3(aP70)	Zanazzi, P.F.; Nestola, F.; Nazzareni, S.; Comodi, P.	9.62(1) 10.41(1) 17.29(1) 112.0(1) 103.4(1) 83.0(1)	1560.53	293.00	1240.0	2008	10	
161985	C -1	(Mn0.915 Fe0.0021 Mg0.083) (Si O3)	MnSiO3(aP70)	Zanazzi, P.F.; Nestola, F.; Nazzareni, S.; Comodi, P.	9.57(1) 10.32(1) 17.16(1) 112.1(1) 103.2(1) 82.9(1)	1527.42	293.00	3570.0	2008	10	
171929	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8456(2) 10.4992(2) 12.2005(4) 108.726(3) 103.724(3) 82.113(2)	1157.76	293.00	0.101325	2005	10	
171930	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8768(3) 10.5222(3) 12.2180(4) 108.748(3) 103.781(3) 82.037(2)	1165.12	293.00	0.101325	2005	10	
171931	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8393(9) 10.4941(9) 12.1977(13) 108.751(9) 103.751(9) 82.091(9)	1155.87	293.00	0.101325	2005	10	
171932	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8337(3) 10.4987(3) 12.1966(5) 108.699(3) 103.597(3) 82.221(2)	1156.83	293.00	0.101325	2005	10	
171933	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8640(7) 10.5237(4) 12.2180(9) 108.727(6) 103.705(5) 82.082(6)	1164.33	293.00	0.101325	2005	10	
171935	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8719(4) 10.5262(4) 12.2214(5) 108.743(4) 103.728(4) 82.049(3)	1165.60	293.00	0.101325	2005	10	
171936	C -1	Mn3 Zn Ca Si5 O15	MnSiO3-[aP50]	Nelson, W.R.; Griffen, D.T.	9.8905(3) 10.5423(3) 12.2294(4) 108.739(3) 103.773(3) 82.050(2)	1170.18	293.00	0.101325	2005	10	
177798	P -1	(Co (H2 O)6)2 (Mn F4 (H2 O)2) (Mn F6)		Keerthisinghe, Navindra; Klepov, Vladislav V.; Zhang, Eric; Smith, Mark D.; Egodawatte, Shani; Foulger, Stephen H.; Zur Loye, Hans-Conrad	6.42130(10) 9.0116(2) 9.0253(2) 104.1026(8) 96.1201(8) 96.8142(8)	497.93	301.90	0.101325	2020	10	
180735	C -1	Na0.60 (Mn2 O4) (D2 O) (H2 O)0.5	NaxMn2O4(H2O)1.5	Post, J.E.; Heaney, P.J.; Cho, Yun Chul	5.176(1) 2.8483(2) 7.347(1) 89.57(3) 103.20(2) 89.87(2)	105.45	298.00	0.101325	2011	10	
200702	P -1	Ca Mn (H As O4)2 (H2 O)2		Catti, M.; Chiari, G.; Ferraris, G.	8.459(2) 7.613(1) 6.968(1) 82.21(1) 98.25(1) 95.86(2)	438.42	293.00	0.101325	1980	10	
202742	P -1	Cu3 Mn2 F12 (H2 O)12	Cu4V2F12(H2O)12	Nunez, P.; Tressaud, A.; Darriet, J.; Hagenmuller, P.; Massa, W.; Kummer, S.; Babel, D.	7.568(1) 7.558(1) 8.168(1) 91.32 89.72 92.61	466.59	293.00	0.101325	1988	10	
205206	P -1	(N H3 N H2)8 (Mn (H2 O) Cl4 (N H3 N H2))2 (Mn Cl6) Cl2		Chalmers, James E.; Srivastava, Anant Kumar; Dixey, Richard J.C.; Sivakumaran, Krrishna; Saines, Paul J.	7.5839(3) 9.1752(4) 15.0656(6) 89.821(4) 84.447(3) 75.697(4)	1010.82	293.00	0.101325	2019	10	
234657	P -1	(Mn3.00 Ca1.93 Fe0.84 Fe0.17) (Si5.94 Fe0.06) O18		Shchipalkina, Nadezhda V.; Chukanov, Nikita V.; Rusakov, Vyacheslav S.; Pekov, Igor V.; Koshlyakova, Natalya N.; Scholz, Ricardo	7.0902(2) 7.6471(3) 7.7055(3) 79.309(4) 62.808(4) 76.355(4)	359.66	293.00	0.101325	2019	10	
236910	I -1	Ba La Mn Mo O6	Ba2LaRuO6(I1-)	Caspi, El'ad N.; Jorgensen, James D.; Lobanov, Maxim V.; Greenblatt, Martha	5.7475(4) 5.7400(4) 8.1063(3) 90 89.883(5) 90	267.43	295.00	0.101325	2003	10	
237992	P -1	(Mn (H2 O)4)2 (H2 Si W12 O40)2 (H2 O)13		Wu, Chang-Sheng; Zhang, Bi-Song; Qiu, Jian-Ping; Li, Yun-Xia	13.916(3) 13.929(3) 14.035(3) 92.88(3) 112.41(3) 117.19(3)	2152.17	293.00	0.101325	2014	10	
243819	P -1	(Ca0.81 Mn0.19) Mn3 Fe (Si5 O15)	MnSiO3-[aP50]	Shchipalkina, Nadezhda V.; Chukanov, Nikita V.; Pekov, Igor V.; Aksenov, Sergey M.; McCammon, Catherine; Belakovskiy, Dmitry I.; Britvin, Sergey N.; Koshlyakova, Natalya N.; Schaefer, Christof; Scholz, Ricardo; Rastsvetaeva, Ramiza K.	6.6766(5) 7.6754(6) 11.8032(9) 105.500(1) 92.275(1) 93.918(1)	580.44	293.00	0.101325	2017	10	
250587	P -1	Li0.725 Mn3.92 Na0.27 Si5 O15	MnSiO3-[aP50]	Nagashima, Mariko; Armbruster, Thomas; Kolitsch, Uwe; Pettke, Thomas	7.5391(2) 11.7475(3) 6.7137(2) 93.024(2) 95.147(2) 106.266(2)	566.61	296.00	0.101325	2014	10	
252854	P -1	(Cu (H2 O)4)3 (Mn F6)2	Cu4V2F12(H2O)12	Felder, Justin B.; Yeon, Jeongho; Smith, Mark D.; zur Loye, Hans-Conrad	7.5023(3) 7.5151(3) 8.1081(3) 88.4530(11) 89.8350(12) 87.3295(12)	456.47	100.00	0.101325	2016	10	
259106	P -1	Ca2 Mn2 Nb6 O19 (H2 O)20		Friis, H.; Weller, M.T.; Kampf, A.R.	9.031(3) 9.917(44) 10.684(4) 112.828(6) 101.050(4) 98.879(4)	837.44	120.00	0.101325	2017	10	
260176	P -1	K Na Mn (Si4 O10)	KNaFeS14O10	Brandao, P.; Rocha, J.; Reis, M.S.; dos Santos, A.M.; Jin, R.	6.9851(6) 8.1825(7) 9.9747(14) 105.700(5) 99.507(6) 114.577(4)	473.34	296.00	0.101325	2009	10	
291082	P -1	Ag Al0.74 Mn3.26 (Mo O4)5		Bouzidi, Chahira; Frigui, Wafa; Zid, Mohamed Faouzi	6.9596(6) 7.0326(7) 17.909(6) 87.654(6) 87.442(6) 79.299(7)	859.96	298.00	0.101325	2015	10	
408216	P -1	(Ca2 Na) Ca Mn (V2 O7) (V3 O10)		Rettich, R.; Müller-Buschbaum, Hk.	6.8798(9) 6.9016(10) 15.480(2) 87.386(12) 85.317(12) 86.25(2)	730.39	293.00	0.101325	1998	10	
412947	P -1	Mn Sm (Se O3)2 Cl		Wickleder, M.S.; Ben Hamida, M.	7.008(2) 7.241(2) 8.034(2) 86.90(3) 71.57(3) 64.33(3)	346.96	293.00	0.101325	2003	10	
417847	P -1	Mn (Mo O3) (Se O3) (H2 O)	Co(MoO3)(SeO3)(H2O)	Zhen, Yanzhong; Wang, Danjun; Liu, Bin; Fu, Feng; Xue, Ganglin	5.094(4) 6.867(5) 9.193(7) 91.797(9) 97.562(9) 110.535(8)	297.48	296.00	0.101325	2013	10	
424951	P -1	(N H4)2 (Mn (H2 O)6)2 (V10 O28) (H2 O)4	(Ca(H2O)7)2(H2O)2(H3O)2(V10O28)	Mestiri, Imen; Ayed, Brahim; Haddad, Amor	8.936(1) 10.998(1) 11.177(1) 64.93(1) 73.64(1) 72.03 (1)	931.80	293.00	0.101325	2013	10	
428440	P -1	Mn3 (Sb2 O2) (V O4)1.87 (Sb O3)0.13 Cl2		Zimmermann, Iwan; Johnsson, Mats	5.3389(2) 7.9155(3) 8.3489(3) 72.209(3) 74.313(4) 72.024(3)	313.45	293.00	0.101325	2015	10	
428441	P -1	Mn3 (Sb2 O2) (V O4)1.9 (Sb O3)0.10 Cl2		Zimmermann, Iwan; Johnsson, Mats	5.3370(3) 7.9133(4) 8.3505(3) 72.266(4) 74.336(4) 72.018(5)	313.41	293.00	0.101325	2015	10	
428442	P -1	Mn3 (Sb2 O2) (V O4)1.92 (Sb O3)0.08 Cl2		Zimmermann, Iwan; Johnsson, Mats	5.3440(4) 7.9247(7) 8.3526(7) 72.234(7) 74.410(7) 72.081(8)	314.49	293.00	0.101325	2015	10	
760313	P -1	Mn3.065 (Fe7 Fe4) O3 (Sb4.363 As8.742 O34)		Pieczka, Adam; Cooper, Mark A.; Hawthorne, Frank C.	10.607(3) 10.442(3) 15.260(5) 89.579(12) 104.479(8) 89.706(9)	1636.40	293.00	0.101325	2019	10	
5061	P -1	Mg0.50 Mn0.43 Ca0.07 Mn3 O7 (H2 O)3	ZnMn3O7(H2O)3-[aP40]	Yan  Guyian; Zhang Shanghua; Zhao Mingkai; Ding Jianping; Li Deyu	7.534(7) 7.525(6) 8.204(8) 89.753(8) 117.375(6) 120.000(6)	341.96	293.00	0.101325	1992	-1	
14170	P -1	K Mn Cl3 (H2 O)2	RbMnCl3(H2O)2	Birkelund, F.; Jensen, S.J.	6.49 6.91 9.91 96.8 114.1 112.6	353.98	293.00	0.101325	1972	-1	
14198	P -1	Rb (Mn Cl3) (H2 O)2	RbMnCl3(H2O)2	Jensen, S.J.	6.65 7.01 9.03 92.3 109.4 112.9	358.74	293.00	0.101325	1970	-1	
20192	P -1	Ca2 Mn7 (Si10 O28) (O H)2 (H2 O)5		Otroshchenko, L.P.; Simonov, V.I.; Belov, N.V.	8.956 9.257 11.995 91.9 47.5 85.83	726.65	293.00	0.101325	1978	-1	
24297	P -1	Cs2 Mn Cl4 (H2 O)2	Rb2MnCl4(H2O)2	Jensen, S.J.	5.74(1) 6.66(1) 7.27(1) 67.0(1) 87.8(1) 84.3(1)	254.56	293.00	0.101325	1964	-1	
24298	P -1	Rb2 (Mn Cl4) (H2 O)2	Rb2MnCl4(H2O)2	Jensen, S.J.	5.66(1) 6.48(1) 7.01(1) 66.7(1) 87.7(1) 84.8(1)	235.16	293.00	0.101325	1964	-1	
24324	P -1	Rb (Mn Cl3) (H2 O)2	RbMnCl3(H2O)2	Jensen, S.J.	6.65(1) 7.01(1) 9.03(1) 92.3(1) 109.4(1) 112.9(1)	358.74	293.00	0.101325	1967	-1	
24345	P -1	K (Mn Cl3) (H2 O)2	RbMnCl3(H2O)2	Jensen, S.J.	6.49(1) 6.91(1) 9.91(1) 96.8(1) 114.1(1) 112.6(1)	353.98	293.00	0.101325	1968	-1	
31599	P -1	Mn (H2 O)6 (B10 Cl10) (H2 O)2.5		Bareiss, Kevin U.; Goerigk, F.B.; Schleid, T.	11.7206(3) 12.3742(3) 17.5273(4) 84.409(2) 88.942(2) 88.694(2)	2528.95	293.00	0.101325	2021	-1	
34935	P -1	Mn2 Na (Si3 O8) (O H)	Ca2NaSi3O8(OH)	Takeuchi, Y.; Kudoh, Y.; Haga, N.	7.683(1) 6.889(1) 6.747(1) 90.53(5) 94.12(2) 102.75(2)	347.29	293.00	0.101325	1973	-1	
41353	P -1	Na4 (Mn Mo8 O27) (H2 O)20		Angus-Dunne, S.J.; Irwin, J.A.; Burns, R.C.; Lwarance, G.A.; Craig, D.C.	9.568(2) 9.868(2) 11.703(3) 103.60(1) 100.86(1) 96.05(1)	1041.69	293.00	0.101325	1993	-1	
67033	P -1	K5 Mn V11 O32 (H2 O)10		Ichida, H.; Nagai, K.; Sasaki, Y.; Pope, M.T.	15.710(4) 12.671(4) 10.281(3) 113.62(2) 92.56(3) 79.54(3)	1843.04	293.00	0.101325	1989	-1	
67034	P -1	K5 (H3 Mn3 V12 O40) (H2 O)8		Ichida, H.; Nagai, K.; Sasaki, Y.; Pope, M.T.	11.800(2) 16.555(2) 11.267(2) 102.91(1) 109.48(1) 86.88(1)	2022.07	293.00	0.101325	1989	-1	
71195	C -1	Li Mn (As O4) (O H)	LiAlPO4(OH,F)	Aranda, M.A.G.; Attfield, J.P.; Bruque, S.	6.8874(5) 8.4326(4) 7.2511(3) 94.213(1) 118.145(2) 86.498(3)	370.17	293.00	0.101325	1991	-1	
71813	C -1	Li Mn (As O4) (O H)	LiAlPO4(OH,F)	Aranda, M.A.G.; Attfield, J.P.; Bruque, S.	6.8874(5) 8.4326(4) 7.2511(3) 94.213(1) 118.145(2) 86.498(3)	370.17	293.00	0.101325	1991	-1	
