Composition,Capacity mAhg-1,Current/C,Voltage Range/V,DOI
NaFe0.3Co0.7O2,190,0.2,1.5-4.0,10.1016/j.jpowsour.2019.02.012
NaFe0.4Co0.6O2,150,0.2,1.5-4.0,10.1016/j.jpowsour.2019.02.012
NaFe0.5Co0.5O2,130,0.2,1.5-4.0,10.1016/j.jpowsour.2019.02.012
NaFe0.6Co0.4O2,100,0.2,1.5-4.0,10.1016/j.jpowsour.2019.02.012
NaFe0.7Co0.3O2,80,0.2,1.5-4.0,10.1016/j.jpowsour.2019.02.012
NaFe1/3Co1/3Ni1/3O2,165,0.2,2-4,10.1016/j.elecom.2013.11.015
NaLi0.1Ti0.2Fe0.2Co0.2Ni0.2Sn0.1O2 ,90,0.1,2-4,10.1039/d2ta02451a 
NaLi0.11Ti0.56Ni0.33O2,91,0.2,3.1-3.75,10.1016/j.jpowsour.2016.08.066
Na4NiTeO6,111,0.1,3.0-4.5,10.1016/j.jpowsour.2017.06.014
NaMg0.15Ti0.7Ni0.15O2,113,0.1,0.2-2.5,10.1016/j.matlet.2020.127950
NaTi0.25Fe0.25Co0.25Ni0.25O2,122,12mA/g,2.0-3.9,10.1039/c5ta05769h
NaTi0.33Fe0.33Ni0.33O2,117,10mA/g,1.5-4.0,10.1039/c5ta10520j
NaFe0.5Ni0.5O2,156,0.1,2.0-3.9,10.1039/c6ta09220a
NaCo0.15Ni0.8Al0.05O2,154,0.1,2-3.8,10.1039/c8ta07842d
NaLi0.1Ti0.2Fe0.2Co0.2Ni0.2Sn0.1O2,130,0.1,2-4,10.1039/d2ta02451a
NaLi0.05Mg0.05Ti0.45Ni0.3Cu0.1Si0.05O2,138,0.1,2-4,10.1039/d3cc00079f
NaTiO2,110,0.2,0.75,10.1016/j.materresbull.2017.05.064
NaTi0.9Al0.1O2,97,0.2,0.76,10.1016/j.materresbull.2017.05.064
NaTi0.65Mg0.35O2,107,0.2,0.83,10.1016/j.materresbull.2017.05.064
NaTi0.85Mg0.15O2,123,0.2,0.82,10.1016/j.materresbull.2017.05.064
Na4FeRuO6 ,120,0.2,2-4,10.1002/smll.201904388
NaCo1/3Ni1/3Mn1/3O2,120,0.1,2-3.75,10.1021/cm300466b 
NaFe1/3Mn1/3Ni1/3O2,136,0.1,2.0–4.0,10.1021/acsaem.0c00475 
NaMnO2,185,0.1,2.0–3.8,10.1149/2.035112jes
